dataset,arm,test_split,n_train,comparison,baseline,baseline_family,metric,mean_delta,median_delta,ci_low,ci_high,raw_p,wilcoxon_p,effect_size_dz,positive_run_fraction,verdict_uncorrected,verdict,n_runs,holm_p
UNSW-NB15,tuned_once,fixed_300,100,QSVM_ZZ_vs_QSVM_Z,QSVM_Z,entanglement,f1_macro,-0.025307042823303195,-0.018552319045239074,-0.0832008177463732,0.0325867320997668,0.625,0.625,-0.31270318574668077,0.4,inconclusive,inconclusive,10,0.625
UNSW-NB15,tuned_once,fixed_300,100,QSVM_ZZ_vs_SVM_Linear,SVM_Linear,classical_kernel,f1_macro,-0.038374268923666195,-0.03374082939872575,-0.11745669937793396,0.04070816153060156,0.375,0.375,-0.34712259257123834,0.4,inconclusive,inconclusive,10,0.375
UNSW-NB15,tuned_once,fixed_300,100,QSVM_ZZ_vs_SVM_Poly2,SVM_Poly2,classical_kernel,f1_macro,0.042517287168883325,0.05387485829933536,0.008100872017347618,0.07693370232041903,0.037109375,0.037109375,0.883736288787807,0.8,QSVM-favorable,inconclusive,10,0.07421875
UNSW-NB15,tuned_once,fixed_300,100,QSVM_ZZ_vs_SVM_RBF,SVM_RBF,classical_kernel,f1_macro,0.19570511658726727,0.1981351237626996,0.15636533744668363,0.23504489572785092,0.001953125,0.001953125,3.5587135907448473,1.0,QSVM-favorable,QSVM-favorable,10,0.005859375
UNSW-NB15,tuned_once,fixed_300,100,QSVM_ZZ_vs_RandomForest,RandomForest,strong_tabular,f1_macro,-0.11029946098215952,-0.10129992864360149,-0.1567137421305798,-0.06388517983373926,0.001953125,0.001953125,-1.6999828325708153,0.0,classical-favorable,classical-favorable,10,0.00390625
UNSW-NB15,tuned_once,fixed_300,100,QSVM_ZZ_vs_XGBoost,XGBoost,strong_tabular,f1_macro,-0.11688611176194526,-0.10248859132533306,-0.16440573031309197,-0.06936649321079855,0.001953125,0.001953125,-1.7595950853639322,0.0,classical-favorable,classical-favorable,10,0.00390625
UNSW-NB15,tuned_once,fixed_300,500,QSVM_ZZ_vs_QSVM_Z,QSVM_Z,entanglement,f1_macro,0.008962598883760331,0.013327686961199903,-0.02276543904574256,0.04069063681326322,0.556640625,0.556640625,0.2020754331291666,0.5,inconclusive,inconclusive,10,0.556640625
UNSW-NB15,tuned_once,fixed_300,500,QSVM_ZZ_vs_SVM_Linear,SVM_Linear,classical_kernel,f1_macro,0.0563203487783394,0.035230255275695066,-0.0070967017871945565,0.11973739934387335,0.083984375,0.083984375,0.6353047025362296,0.7,inconclusive,inconclusive,10,0.083984375
UNSW-NB15,tuned_once,fixed_300,500,QSVM_ZZ_vs_SVM_Poly2,SVM_Poly2,classical_kernel,f1_macro,0.09475952521240645,0.08361391379777144,0.04735394233117046,0.14216510809364244,0.001953125,0.001953125,1.4299345487855522,1.0,QSVM-favorable,QSVM-favorable,10,0.005859375
UNSW-NB15,tuned_once,fixed_300,500,QSVM_ZZ_vs_SVM_RBF,SVM_RBF,classical_kernel,f1_macro,0.11210215815049111,0.13309202367393175,0.05457605325563177,0.16962826304535045,0.001953125,0.001953125,1.3940289048552577,1.0,QSVM-favorable,QSVM-favorable,10,0.005859375
UNSW-NB15,tuned_once,fixed_300,500,QSVM_ZZ_vs_RandomForest,RandomForest,strong_tabular,f1_macro,-0.0549553740073491,-0.04510273697638173,-0.07843128893055257,-0.03147945908414563,0.001953125,0.001953125,-1.674597409513589,0.0,classical-favorable,classical-favorable,10,0.00390625
UNSW-NB15,tuned_once,fixed_300,500,QSVM_ZZ_vs_XGBoost,XGBoost,strong_tabular,f1_macro,-0.06808027665636594,-0.05839212811907646,-0.09003076072934454,-0.04612979258338734,0.001953125,0.001953125,-2.218707154913152,0.0,classical-favorable,classical-favorable,10,0.00390625
UNSW-NB15,tuned_once,fixed_300,1000,QSVM_ZZ_vs_QSVM_Z,QSVM_Z,entanglement,f1_macro,-0.010440934025015624,0.004587117483544401,-0.032431306094982244,0.011549438044950996,0.556640625,0.556640625,-0.33964838047373486,0.6,inconclusive,inconclusive,10,0.556640625
UNSW-NB15,tuned_once,fixed_300,1000,QSVM_ZZ_vs_SVM_Linear,SVM_Linear,classical_kernel,f1_macro,0.02406532589137783,0.006841205482347512,-0.03948033349132313,0.08761098527407879,0.4921875,0.4921875,0.27091224228477034,0.5,inconclusive,inconclusive,10,0.4921875
UNSW-NB15,tuned_once,fixed_300,1000,QSVM_ZZ_vs_SVM_Poly2,SVM_Poly2,classical_kernel,f1_macro,0.08255430356234672,0.06654337496944096,0.046471455246939575,0.11863715187775387,0.001953125,0.001953125,1.6366721012350605,1.0,QSVM-favorable,QSVM-favorable,10,0.005859375
UNSW-NB15,tuned_once,fixed_300,1000,QSVM_ZZ_vs_SVM_RBF,SVM_RBF,classical_kernel,f1_macro,0.04135672761111944,0.0451166211967135,-9.529933093040815e-05,0.0828087545531693,0.083984375,0.083984375,0.7137122810983815,0.8,inconclusive,inconclusive,10,0.16796875
UNSW-NB15,tuned_once,fixed_300,1000,QSVM_ZZ_vs_RandomForest,RandomForest,strong_tabular,f1_macro,-0.054814263717673804,-0.05827739918775132,-0.08659225611511846,-0.023036271320229146,0.009765625,0.009765625,-1.2339282357965542,0.1,classical-favorable,classical-favorable,10,0.01171875
UNSW-NB15,tuned_once,fixed_300,1000,QSVM_ZZ_vs_XGBoost,XGBoost,strong_tabular,f1_macro,-0.061307249556300014,-0.061739179728059146,-0.09581859970456513,-0.026795899408034896,0.005859375,0.005859375,-1.2707866880824088,0.1,classical-favorable,classical-favorable,10,0.01171875
UNSW-NB15,tuned_once,fixed_300,2000,QSVM_ZZ_vs_QSVM_Z,QSVM_Z,entanglement,f1_macro,-0.0010953168216063958,-0.00805545933888907,-0.021202792079443315,0.01901215843623052,0.845703125,0.845703125,-0.03896771934390853,0.4,inconclusive,inconclusive,10,0.845703125
UNSW-NB15,tuned_once,fixed_300,2000,QSVM_ZZ_vs_SVM_Linear,SVM_Linear,classical_kernel,f1_macro,0.11038409394467315,0.14347241444445213,0.044792036750881406,0.17597615113846488,0.009765625,0.009765625,1.2038656400017667,0.8,QSVM-favorable,QSVM-favorable,10,0.009765625
UNSW-NB15,tuned_once,fixed_300,2000,QSVM_ZZ_vs_SVM_Poly2,SVM_Poly2,classical_kernel,f1_macro,0.08034984912380902,0.07552679344719176,0.06008596560142594,0.1006137326461921,0.001953125,0.001953125,2.8365154883035033,1.0,QSVM-favorable,QSVM-favorable,10,0.005859375
UNSW-NB15,tuned_once,fixed_300,2000,QSVM_ZZ_vs_SVM_RBF,SVM_RBF,classical_kernel,f1_macro,0.038349971341113266,0.03301113464150879,0.018139962582548276,0.058559980099678256,0.001953125,0.001953125,1.3574421055614818,1.0,QSVM-favorable,QSVM-favorable,10,0.005859375
UNSW-NB15,tuned_once,fixed_300,2000,QSVM_ZZ_vs_RandomForest,RandomForest,strong_tabular,f1_macro,-0.056631131890086596,-0.0552050061574656,-0.07565627816567912,-0.037605985614494075,0.001953125,0.001953125,-2.129364510720289,0.0,classical-favorable,classical-favorable,10,0.00390625
UNSW-NB15,tuned_once,fixed_300,2000,QSVM_ZZ_vs_XGBoost,XGBoost,strong_tabular,f1_macro,-0.056282289224861524,-0.06187278567942878,-0.07359906819241208,-0.03896551025731098,0.001953125,0.001953125,-2.3250238601698836,0.0,classical-favorable,classical-favorable,10,0.00390625
UNSW-NB15,tuned_once,fixed_300,5000,QSVM_ZZ_vs_QSVM_Z,QSVM_Z,entanglement,f1_macro,0.011306007544559248,0.004837357603134473,-0.011946348536003064,0.03455836362512156,0.556640625,0.556640625,0.3478284328665462,0.7,inconclusive,inconclusive,10,0.556640625
UNSW-NB15,tuned_once,fixed_300,5000,QSVM_ZZ_vs_SVM_Linear,SVM_Linear,classical_kernel,f1_macro,0.14958924284382427,0.14926646229593193,0.10324424348914375,0.1959342421985048,0.00390625,0.00390625,2.308980459969416,0.9,QSVM-favorable,QSVM-favorable,10,0.01171875
UNSW-NB15,tuned_once,fixed_300,5000,QSVM_ZZ_vs_SVM_Poly2,SVM_Poly2,classical_kernel,f1_macro,0.06782198515798406,0.060539711170908395,0.023263067560100596,0.11238090275586751,0.013671875,0.013671875,1.088826391548352,0.9,QSVM-favorable,QSVM-favorable,10,0.02734375
UNSW-NB15,tuned_once,fixed_300,5000,QSVM_ZZ_vs_SVM_RBF,SVM_RBF,classical_kernel,f1_macro,0.024853078853503286,0.022561453348782845,-0.022289388896512805,0.07199554660351938,0.193359375,0.193359375,0.37712963366201796,0.7,inconclusive,inconclusive,10,0.193359375
UNSW-NB15,tuned_once,fixed_300,5000,QSVM_ZZ_vs_RandomForest,RandomForest,strong_tabular,f1_macro,-0.07105820722142123,-0.08090949732913061,-0.09986384583144593,-0.04225256861139652,0.00390625,0.00390625,-1.7646537870557084,0.1,classical-favorable,classical-favorable,10,0.00390625
UNSW-NB15,tuned_once,fixed_300,5000,QSVM_ZZ_vs_XGBoost,XGBoost,strong_tabular,f1_macro,-0.0707636714419204,-0.08056703270941978,-0.0998734848568081,-0.04165385802703271,0.001953125,0.001953125,-1.7389764866004778,0.0,classical-favorable,classical-favorable,10,0.00390625
UNSW-NB15,tuned_once,fixed_300,10000,QSVM_ZZ_vs_QSVM_Z,QSVM_Z,entanglement,f1_macro,0.03233752531575366,0.017532216337385553,0.0030493244714393797,0.06162572616006794,0.01953125,0.01953125,0.7898358857750173,0.8,QSVM-favorable,QSVM-favorable,10,0.01953125
UNSW-NB15,tuned_once,fixed_300,10000,QSVM_ZZ_vs_SVM_Linear,SVM_Linear,classical_kernel,f1_macro,0.15117200296855757,0.16557312441261263,0.08284329023096142,0.2195007157061537,0.00390625,0.00390625,1.582671939515013,0.9,QSVM-favorable,QSVM-favorable,10,0.0078125
UNSW-NB15,tuned_once,fixed_300,10000,QSVM_ZZ_vs_SVM_Poly2,SVM_Poly2,classical_kernel,f1_macro,0.0721107991528533,0.06152898992780498,0.033212933980780346,0.11100866432492626,0.001953125,0.001953125,1.3261642493967254,1.0,QSVM-favorable,QSVM-favorable,10,0.005859375
UNSW-NB15,tuned_once,fixed_300,10000,QSVM_ZZ_vs_SVM_RBF,SVM_RBF,classical_kernel,f1_macro,0.011491095719613265,0.008021855775467324,-0.026643595885970206,0.049625787325196735,0.6953125,0.6953125,0.21555791679699152,0.5,inconclusive,inconclusive,10,0.6953125
UNSW-NB15,tuned_once,fixed_300,10000,QSVM_ZZ_vs_RandomForest,RandomForest,strong_tabular,f1_macro,-0.06875638366070215,-0.08298061405179724,-0.09634203658795937,-0.04117073073344493,0.001953125,0.001953125,-1.783004883406334,0.0,classical-favorable,classical-favorable,10,0.00390625
UNSW-NB15,tuned_once,fixed_300,10000,QSVM_ZZ_vs_XGBoost,XGBoost,strong_tabular,f1_macro,-0.05879313008773546,-0.06729276440938614,-0.0836257261751695,-0.03396053400030141,0.00390625,0.00390625,-1.6936639038387022,0.1,classical-favorable,classical-favorable,10,0.00390625
UNSW-NB15,tuned_once,full_test,100,QSVM_ZZ_vs_QSVM_Z,QSVM_Z,entanglement,f1_macro,-0.022479273799528743,-0.02152720009677017,-0.06618214566738548,0.021223598068327985,0.431640625,0.431640625,-0.36795530971788604,0.3,inconclusive,inconclusive,10,0.431640625
UNSW-NB15,tuned_once,full_test,100,QSVM_ZZ_vs_SVM_Linear,SVM_Linear,classical_kernel,f1_macro,-0.024092784958646286,-0.005494849096008725,-0.09103202619193926,0.04284645627464668,0.4921875,0.4921875,-0.25747139923751916,0.5,inconclusive,inconclusive,10,0.4921875
UNSW-NB15,tuned_once,full_test,100,QSVM_ZZ_vs_SVM_Poly2,SVM_Poly2,classical_kernel,f1_macro,0.04660882700333202,0.0523104940375958,0.025628995505214906,0.06758865850144913,0.00390625,0.00390625,1.5892380393530763,0.9,QSVM-favorable,QSVM-favorable,10,0.0078125
UNSW-NB15,tuned_once,full_test,100,QSVM_ZZ_vs_SVM_RBF,SVM_RBF,classical_kernel,f1_macro,0.22231707020360378,0.22309385880159976,0.19077776129931034,0.2538563791078972,0.001953125,0.001953125,5.042471030925588,1.0,QSVM-favorable,QSVM-favorable,10,0.005859375
UNSW-NB15,tuned_once,full_test,100,QSVM_ZZ_vs_RandomForest,RandomForest,strong_tabular,f1_macro,-0.09545980326696726,-0.09085378540052236,-0.12129585358012036,-0.06962375295381416,0.001953125,0.001953125,-2.643121865839563,0.0,classical-favorable,classical-favorable,10,0.00390625
UNSW-NB15,tuned_once,full_test,100,QSVM_ZZ_vs_XGBoost,XGBoost,strong_tabular,f1_macro,-0.10059468990758949,-0.09180701135276553,-0.1294406866302104,-0.07174869318496857,0.001953125,0.001953125,-2.4946652674663876,0.0,classical-favorable,classical-favorable,10,0.00390625
UNSW-NB15,tuned_once,full_test,500,QSVM_ZZ_vs_QSVM_Z,QSVM_Z,entanglement,f1_macro,0.014930024560063315,0.013235155140484234,-0.007693835028067492,0.03755388414819412,0.275390625,0.275390625,0.4720810847392347,0.6,inconclusive,inconclusive,10,0.275390625
UNSW-NB15,tuned_once,full_test,500,QSVM_ZZ_vs_SVM_Linear,SVM_Linear,classical_kernel,f1_macro,0.06321183202878243,0.05555441549321277,0.0032136721669364862,0.12320999189062837,0.048828125,0.048828125,0.753673457402197,0.8,QSVM-favorable,QSVM-favorable,10,0.048828125
UNSW-NB15,tuned_once,full_test,500,QSVM_ZZ_vs_SVM_Poly2,SVM_Poly2,classical_kernel,f1_macro,0.09357323009366311,0.08013824905353423,0.056979495151964724,0.13016696503536151,0.001953125,0.001953125,1.8292272288721234,1.0,QSVM-favorable,QSVM-favorable,10,0.005859375
UNSW-NB15,tuned_once,full_test,500,QSVM_ZZ_vs_SVM_RBF,SVM_RBF,classical_kernel,f1_macro,0.11530195420228995,0.1213224928620178,0.0734197236689097,0.1571841847356702,0.001953125,0.001953125,1.969380526301793,1.0,QSVM-favorable,QSVM-favorable,10,0.005859375
