dataset,arm,test_split,n_train,comparison,baseline,baseline_family,metric,mean_delta,median_delta,ci_low,ci_high,raw_p,wilcoxon_p,effect_size_dz,positive_run_fraction,verdict_uncorrected,verdict,n_runs,holm_p
NSL-KDD,tuned_per_N,full_test,500,QSVM_ZZ_vs_SVM_Poly2,SVM_Poly2,classical_kernel,f1_macro,0.02392000435845738,0.0112834140399794,-0.00026292712661084294,0.0481029358435256,0.064453125,0.064453125,0.7075792411369275,0.8,inconclusive,inconclusive,10,0.12890625
NSL-KDD,tuned_per_N,full_test,500,QSVM_ZZ_vs_SVM_RBF,SVM_RBF,classical_kernel,f1_macro,-0.029239215879948034,-0.026647136756698275,-0.055122247075635414,-0.0033561846842606498,0.037109375,0.037109375,-0.8081153573841476,0.2,classical-favorable,inconclusive,10,0.111328125
NSL-KDD,tuned_per_N,full_test,500,QSVM_ZZ_vs_RandomForest,RandomForest,strong_tabular,f1_macro,-0.029278451500896863,-0.03166625401155598,-0.052007464410148085,-0.00654943859164564,0.01953125,0.01953125,-0.9214893124007527,0.2,classical-favorable,classical-favorable,10,0.02734375
NSL-KDD,tuned_per_N,full_test,500,QSVM_ZZ_vs_XGBoost,XGBoost,strong_tabular,f1_macro,-0.029312083825392875,-0.026258761385268337,-0.05345889850183118,-0.005165269148954571,0.013671875,0.013671875,-0.8683796133717921,0.2,classical-favorable,classical-favorable,10,0.02734375
NSL-KDD,tuned_per_N,full_test,1000,QSVM_ZZ_vs_QSVM_Z,QSVM_Z,entanglement,f1_macro,0.005138232552168265,-0.0009322610919769159,-0.019193029865272535,0.029469494969609066,0.76953125,0.76953125,0.1510677940837997,0.5,inconclusive,inconclusive,10,0.76953125
NSL-KDD,tuned_per_N,full_test,1000,QSVM_ZZ_vs_SVM_Linear,SVM_Linear,classical_kernel,f1_macro,0.031143922433750006,0.031161692810227293,0.01801038934386051,0.0442774555236395,0.001953125,0.001953125,1.6963462793685493,1.0,QSVM-favorable,QSVM-favorable,10,0.005859375
NSL-KDD,tuned_per_N,full_test,1000,QSVM_ZZ_vs_SVM_Poly2,SVM_Poly2,classical_kernel,f1_macro,0.029324937709751208,0.05089247623868093,-0.010826294208004999,0.06947616962750741,0.10546875,0.10546875,0.5224695658354885,0.7,inconclusive,inconclusive,10,0.2109375
NSL-KDD,tuned_per_N,full_test,1000,QSVM_ZZ_vs_SVM_RBF,SVM_RBF,classical_kernel,f1_macro,-0.0028282628828999123,-0.02240229080304401,-0.029231701045353314,0.023575175279553492,1.0,1.0,-0.07662704276369726,0.4,inconclusive,inconclusive,10,1.0
NSL-KDD,tuned_per_N,full_test,1000,QSVM_ZZ_vs_RandomForest,RandomForest,strong_tabular,f1_macro,-0.019630766148943723,-0.021074195331669265,-0.034980460939730784,-0.004281071358156665,0.02734375,0.02734375,-0.914871880225964,0.2,classical-favorable,classical-favorable,10,0.02734375
NSL-KDD,tuned_per_N,full_test,1000,QSVM_ZZ_vs_XGBoost,XGBoost,strong_tabular,f1_macro,-0.028941321644005914,-0.03717893910961434,-0.04045402378316437,-0.017428619504847455,0.00390625,0.00390625,-1.798307126833323,0.1,classical-favorable,classical-favorable,10,0.0078125
NSL-KDD,tuned_per_N,full_test,2000,QSVM_ZZ_vs_QSVM_Z,QSVM_Z,entanglement,f1_macro,0.016552746157255428,0.015443783279896262,-0.004778109724114219,0.03788360203862508,0.130859375,0.130859375,0.555117025881464,0.7,inconclusive,inconclusive,10,0.130859375
NSL-KDD,tuned_per_N,full_test,2000,QSVM_ZZ_vs_SVM_Linear,SVM_Linear,classical_kernel,f1_macro,0.0408062665068743,0.038725232607690896,0.02514290402732908,0.05646962898641952,0.001953125,0.001953125,1.8636512173355202,1.0,QSVM-favorable,QSVM-favorable,10,0.005859375
NSL-KDD,tuned_per_N,full_test,2000,QSVM_ZZ_vs_SVM_Poly2,SVM_Poly2,classical_kernel,f1_macro,0.06396660026639611,0.07234599618931031,0.031976450857062355,0.09595674967572987,0.005859375,0.005859375,1.4304074878337498,0.9,QSVM-favorable,QSVM-favorable,10,0.01171875
NSL-KDD,tuned_per_N,full_test,2000,QSVM_ZZ_vs_SVM_RBF,SVM_RBF,classical_kernel,f1_macro,-0.01377415777290294,-0.019139559339950873,-0.03794347496537979,0.01039515941957391,0.16015625,0.16015625,-0.4076837921529159,0.2,inconclusive,inconclusive,10,0.16015625
NSL-KDD,tuned_per_N,full_test,2000,QSVM_ZZ_vs_RandomForest,RandomForest,strong_tabular,f1_macro,-0.005852516158879173,-0.006242420027573525,-0.025406164290588278,0.013701131972829933,0.275390625,0.275390625,-0.21411031963748378,0.3,inconclusive,inconclusive,10,0.275390625
NSL-KDD,tuned_per_N,full_test,2000,QSVM_ZZ_vs_XGBoost,XGBoost,strong_tabular,f1_macro,-0.012882820576485099,-0.018023236539303544,-0.02956644869997852,0.003800807547008324,0.130859375,0.130859375,-0.5523867230528916,0.3,inconclusive,inconclusive,10,0.26171875
NSL-KDD,tuned_per_N,full_test,5000,QSVM_ZZ_vs_QSVM_Z,QSVM_Z,entanglement,f1_macro,0.022356464892402228,0.015360732010461675,0.007157564876221987,0.03755536490858247,0.005859375,0.005859375,1.0522374340804395,0.9,QSVM-favorable,QSVM-favorable,10,0.005859375
NSL-KDD,tuned_per_N,full_test,5000,QSVM_ZZ_vs_SVM_Linear,SVM_Linear,classical_kernel,f1_macro,0.04815937132564109,0.047622491862481464,0.044043058441216976,0.052275684210065204,0.001953125,0.001953125,8.369416959377412,1.0,QSVM-favorable,QSVM-favorable,10,0.005859375
NSL-KDD,tuned_per_N,full_test,5000,QSVM_ZZ_vs_SVM_Poly2,SVM_Poly2,classical_kernel,f1_macro,0.07043137931540232,0.06772499017285522,0.06446616975950732,0.07639658887129731,0.001953125,0.001953125,8.446236987688383,1.0,QSVM-favorable,QSVM-favorable,10,0.005859375
NSL-KDD,tuned_per_N,full_test,5000,QSVM_ZZ_vs_SVM_RBF,SVM_RBF,classical_kernel,f1_macro,0.002605075863848505,0.0045699097778341136,-0.006348120258398092,0.011558271986095102,0.4921875,0.4921875,0.20814455355792053,0.6,inconclusive,inconclusive,10,0.4921875
NSL-KDD,tuned_per_N,full_test,5000,QSVM_ZZ_vs_RandomForest,RandomForest,strong_tabular,f1_macro,0.008239152141520822,0.008653461188021905,0.00044641715225574464,0.0160318871307859,0.064453125,0.064453125,0.7563370744544926,0.7,inconclusive,inconclusive,10,0.064453125
NSL-KDD,tuned_per_N,full_test,5000,QSVM_ZZ_vs_XGBoost,XGBoost,strong_tabular,f1_macro,0.009956961734681335,0.012233218293942028,0.004135221445361757,0.015778702024000914,0.013671875,0.013671875,1.2234797475348087,0.9,QSVM-favorable,QSVM-favorable,10,0.02734375
NSL-KDD,tuned_per_N,full_test,10000,QSVM_ZZ_vs_QSVM_Z,QSVM_Z,entanglement,f1_macro,0.006828095172886928,0.0022890079439576994,-0.007974775792482625,0.02163096613825648,0.556640625,0.556640625,0.32997146620927,0.5,inconclusive,inconclusive,10,0.556640625
NSL-KDD,tuned_per_N,full_test,10000,QSVM_ZZ_vs_SVM_Linear,SVM_Linear,classical_kernel,f1_macro,0.052062187775875124,0.048137333098381085,0.04317321701160738,0.060951158540142866,0.001953125,0.001953125,4.189804033907385,1.0,QSVM-favorable,QSVM-favorable,10,0.005859375
NSL-KDD,tuned_per_N,full_test,10000,QSVM_ZZ_vs_SVM_Poly2,SVM_Poly2,classical_kernel,f1_macro,0.07412041651720017,0.07356769844051991,0.06307801648398366,0.08516281655041667,0.001953125,0.001953125,4.801723508431573,1.0,QSVM-favorable,QSVM-favorable,10,0.005859375
NSL-KDD,tuned_per_N,full_test,10000,QSVM_ZZ_vs_SVM_RBF,SVM_RBF,classical_kernel,f1_macro,0.011531854992509893,0.009483288855695604,-0.001669955807570218,0.024733665792590002,0.130859375,0.130859375,0.624868226977937,0.6,inconclusive,inconclusive,10,0.130859375
NSL-KDD,tuned_per_N,full_test,10000,QSVM_ZZ_vs_RandomForest,RandomForest,strong_tabular,f1_macro,0.012726723968866815,0.012178383697309947,0.004650945127007257,0.020802502810726375,0.005859375,0.005859375,1.1273401686437103,0.9,QSVM-favorable,QSVM-favorable,10,0.0078125
NSL-KDD,tuned_per_N,full_test,10000,QSVM_ZZ_vs_XGBoost,XGBoost,strong_tabular,f1_macro,0.014940213996021056,0.013166536142262486,0.0049641361098320125,0.0249162918822101,0.00390625,0.00390625,1.0713213530067978,0.9,QSVM-favorable,QSVM-favorable,10,0.0078125
